datetime	trade	volume
2018-07-10 09:15:00	95.400000	67.000000
2018-07-10 09:15:01	95.395000	61.000000
2018-07-10 09:15:01	95.395000	31.000000
2018-07-10 09:15:02	95.395000	19.000000
2018-07-10 09:15:02	95.390000	27.000000
2018-07-10 09:15:03	95.400000	15.000000
2018-07-10 09:15:03	95.420000	16.000000
2018-07-10 09:15:04	95.420000	27.000000
2018-07-10 09:15:04	95.420000	17.000000
2018-07-10 09:15:05	95.405000	28.000000
2018-07-10 09:15:05	95.405000	4.000000
2018-07-10 09:15:06	95.410000	3.000000
2018-07-10 09:15:06	95.410000	11.000000
2018-07-10 09:15:07	95.410000	14.000000
2018-07-10 09:15:07	95.405000	5.000000
2018-07-10 09:15:08	95.410000	6.000000
2018-07-10 09:15:08	95.410000	7.000000
2018-07-10 09:15:09	95.410000	5.000000
2018-07-10 09:15:09	95.410000	2.000000
2018-07-10 09:15:10	95.410000	12.000000
2018-07-10 09:15:11	95.410000	2.000000
2018-07-10 09:15:11	95.415000	16.000000
2018-07-10 09:15:12	95.415000	4.000000
2018-07-10 09:15:12	95.415000	17.000000
2018-07-10 09:15:13	95.420000	9.000000
2018-07-10 09:15:13	95.420000	4.000000
2018-07-10 09:15:14	95.425000	6.000000
2018-07-10 09:15:14	95.430000	4.000000
2018-07-10 09:15:15	95.430000	3.000000
2018-07-10 09:15:15	95.430000	21.000000
2018-07-10 09:15:16	95.430000	4.000000
2018-07-10 09:15:16	95.430000	1.000000
2018-07-10 09:15:17	95.425000	2.000000
2018-07-10 09:15:18	95.430000	4.000000
2018-07-10 09:15:18	95.425000	1.000000
2018-07-10 09:15:19	95.435000	5.000000
2018-07-10 09:15:19	95.435000	37.000000
2018-07-10 09:15:20	95.430000	20.000000
2018-07-10 09:15:20	95.435000	7.000000
2018-07-10 09:15:21	95.430000	17.000000
2018-07-10 09:15:21	95.435000	7.000000
2018-07-10 09:15:22	95.430000	2.000000
2018-07-10 09:15:22	95.425000	2.000000
2018-07-10 09:15:23	95.425000	1.000000
2018-07-10 09:15:24	95.425000	16.000000
2018-07-10 09:15:24	95.425000	23.000000
2018-07-10 09:15:25	95.425000	7.000000
2018-07-10 09:15:26	95.415000	2.000000
2018-07-10 09:15:26	95.420000	5.000000
2018-07-10 09:15:27	95.425000	6.000000
2018-07-10 09:15:27	95.425000	2.000000
2018-07-10 09:15:28	95.430000	1.000000
2018-07-10 09:15:28	95.430000	4.000000
2018-07-10 09:15:29	95.430000	14.000000
2018-07-10 09:15:29	95.435000	6.000000
2018-07-10 09:15:30	95.435000	3.000000
2018-07-10 09:15:30	95.435000	2.000000
2018-07-10 09:15:31	95.435000	9.000000
2018-07-10 09:15:31	95.440000	3.000000
2018-07-10 09:15:32	95.445000	12.000000
2018-07-10 09:15:33	95.435000	1.000000
2018-07-10 09:15:33	95.435000	4.000000
2018-07-10 09:15:35	95.440000	2.000000
2018-07-10 09:15:35	95.430000	9.000000
2018-07-10 09:15:36	95.430000	7.000000
2018-07-10 09:15:36	95.430000	4.000000
2018-07-10 09:15:37	95.435000	1.000000
2018-07-10 09:15:38	95.440000	17.000000
2018-07-10 09:15:38	95.440000	2.000000
2018-07-10 09:15:39	95.445000	5.000000
2018-07-10 09:15:39	95.445000	3.000000
2018-07-10 09:15:40	95.450000	16.000000
2018-07-10 09:15:41	95.445000	7.000000
2018-07-10 09:15:41	95.440000	6.000000
2018-07-10 09:15:42	95.445000	17.000000
2018-07-10 09:15:43	95.445000	2.000000
2018-07-10 09:15:43	95.440000	7.000000
2018-07-10 09:15:44	95.440000	6.000000
2018-07-10 09:15:44	95.440000	2.000000
2018-07-10 09:15:45	95.440000	6.000000
2018-07-10 09:15:45	95.440000	1.000000
2018-07-10 09:15:46	95.445000	1.000000
2018-07-10 09:15:46	95.440000	10.000000
2018-07-10 09:15:47	95.445000	6.000000
2018-07-10 09:15:47	95.445000	4.000000
2018-07-10 09:15:48	95.440000	6.000000
2018-07-10 09:15:48	95.445000	5.000000
2018-07-10 09:15:49	95.450000	4.000000
2018-07-10 09:15:49	95.450000	1.000000
2018-07-10 09:15:50	95.445000	4.000000
2018-07-10 09:15:50	95.445000	3.000000
2018-07-10 09:15:51	95.450000	1.000000
2018-07-10 09:15:52	95.450000	31.000000
2018-07-10 09:15:53	95.450000	5.000000
2018-07-10 09:15:53	95.450000	1.000000
2018-07-10 09:15:54	95.450000	6.000000
2018-07-10 09:15:55	95.450000	8.000000
2018-07-10 09:15:55	95.440000	4.000000
2018-07-10 09:15:56	95.445000	1.000000
