date	open	high	low	close
736956.000000	142.000000	148.000000	136.000000	148.000000
736957.000000	145.500000	150.000000	144.500000	144.500000
736958.000000	142.500000	142.500000	138.500000	139.000000
736959.000000	141.000000	143.000000	139.500000	143.000000
736960.000000	139.000000	159.000000	139.000000	159.000000
736963.000000	161.500000	161.500000	154.500000	154.500000
736964.000000	154.500000	154.500000	150.500000	150.500000
736965.000000	146.500000	147.000000	144.000000	144.000000
736966.000000	144.500000	146.500000	143.000000	146.000000
736967.000000	143.000000	143.000000	139.500000	143.000000
736977.000000	154.000000	154.000000	151.000000	151.000000
736978.000000	150.000000	150.000000	142.500000	144.000000
736979.000000	145.500000	146.500000	136.500000	139.000000
736981.000000	135.500000	176.500000	135.500000	176.000000
736984.000000	171.500000	171.500000	170.500000	170.500000
736985.000000	160.500000	160.500000	156.500000	156.500000
736986.000000	155.500000	155.500000	153.500000	153.500000
736987.000000	152.000000	152.000000	152.000000	152.000000
736988.000000	152.000000	152.000000	149.000000	150.000000
736991.000000	154.000000	154.000000	135.000000	142.000000
736992.000000	141.500000	142.000000	136.000000	136.000000
736993.000000	132.000000	134.500000	132.000000	134.500000
736994.000000	137.500000	137.500000	126.500000	126.500000
736995.000000	131.000000	131.000000	118.500000	118.500000
736998.000000	123.500000	126.000000	122.500000	122.500000
736999.000000	121.500000	121.500000	117.000000	118.000000
737000.000000	119.500000	122.000000	115.000000	120.500000
737001.000000	118.500000	130.500000	118.500000	130.500000
737002.000000	132.000000	136.000000	132.000000	135.000000
737005.000000	130.000000	130.000000	120.000000	120.000000
737006.000000	123.000000	128.000000	123.000000	125.000000
737007.000000	123.500000	124.000000	122.000000	124.000000
737008.000000	125.500000	131.500000	125.000000	131.500000
737009.000000	133.500000	133.500000	117.000000	119.000000
737012.000000	125.500000	125.500000	124.500000	124.500000
737013.000000	122.500000	122.500000	115.000000	119.000000
737014.000000	122.000000	126.500000	115.500000	116.500000
737015.000000	117.500000	127.000000	117.500000	127.000000
737016.000000	126.500000	126.500000	124.500000	124.500000
737019.000000	123.500000	158.500000	123.500000	155.000000
737020.000000	156.000000	163.000000	152.500000	163.000000
737021.000000	160.500000	160.500000	152.500000	152.500000
737022.000000	163.000000	167.000000	151.000000	151.000000
737023.000000	162.000000	162.000000	155.500000	158.000000
737026.000000	155.500000	158.500000	148.000000	150.500000
737027.000000	150.000000	154.500000	147.500000	152.500000
737028.000000	149.000000	149.000000	147.500000	147.500000
737029.000000	147.000000	153.000000	147.000000	151.500000
737030.000000	131.000000	134.500000	131.000000	133.000000
737033.000000	139.000000	168.000000	139.000000	168.000000
737034.000000	169.500000	173.000000	168.000000	168.500000
