code_ctp	zn1712
code_wind	ZN1712.SHF
code_bbg	ZNAZ7 Comdty
contract_size	5
tick_size	5
tick_value	25
asset_name	zinc
exchange	.SHF
first_trade_date1	736680
first_trade_date2	2016-12-16
last_trade_date1	737044
last_trade_date2	2017-12-15
first_notice_date1	737044
first_notice_date2	2017-12-15
first_dlv_date1	737047
first_dlv_date2	2017-12-18
last_dlv_date1	737051
last_dlv_date2	2017-12-22
trading_hours	09:00-11:30;13:30-15:00;21:00-01:00
trading_break	10:15-10:30
holidays	shanghai
init_margin_rate	0.060467
