code_ctp	IH1808
code_wind	IH1808.CFE
code_bbg	FFBQ8 Comdty
contract_size	300
tick_size	0.2
tick_value	60
asset_name	eqindex_50
exchange	.CFE
first_trade_date1	737230
first_trade_date2	2018-06-19
last_trade_date1	737289
last_trade_date2	2018-08-17
first_notice_date1	737289
first_notice_date2	2018-08-17
first_dlv_date1	737289
first_dlv_date2	2018-08-17
last_dlv_date1	737289
last_dlv_date2	2018-08-17
trading_hours	09:30-11:30;13:00-15:00
trading_break	
holidays	shanghai
init_margin_rate	0.1998
