code_ctp	T1803
code_wind	T1803.CFE
code_bbg	TFTH8 Comdty
contract_size	1000000
tick_size	0.005
tick_value	50
asset_name	govtbond_10y
exchange	.CFE
first_trade_date1	736858
first_trade_date2	2017-06-12
last_trade_date1	737128
last_trade_date2	2018-03-09
first_notice_date1	737120
first_notice_date2	2018-03-01
first_dlv_date1	737125
first_dlv_date2	2018-03-06
last_dlv_date1	737133
last_dlv_date2	2018-03-14
trading_hours	09:15-11:30;13:00-15:15
trading_break	
holidays	shanghai
init_margin_rate	
