datetime	open	high	low	close
2018-07-04 09:00:00	3801.000000	3801.000000	3801.000000	3801.000000
2018-07-04 09:01:00	3800.000000	3800.000000	3790.000000	3794.000000
2018-07-04 09:02:00	3796.000000	3796.000000	3796.000000	3796.000000
2018-07-04 09:04:00	3809.000000	3809.000000	3809.000000	3809.000000
2018-07-04 09:07:00	3810.000000	3810.000000	3810.000000	3810.000000
2018-07-04 09:08:00	3810.000000	3817.000000	3810.000000	3817.000000
2018-07-04 09:09:00	3811.000000	3811.000000	3811.000000	3811.000000
2018-07-04 09:10:00	3816.000000	3816.000000	3816.000000	3816.000000
2018-07-04 09:11:00	3812.000000	3812.000000	3812.000000	3812.000000
2018-07-04 09:12:00	3815.000000	3815.000000	3815.000000	3815.000000
2018-07-04 09:13:00	3820.000000	3820.000000	3820.000000	3820.000000
2018-07-04 09:20:00	3818.000000	3818.000000	3818.000000	3818.000000
2018-07-04 09:21:00	3815.000000	3815.000000	3815.000000	3815.000000
2018-07-04 09:22:00	3815.000000	3815.000000	3815.000000	3815.000000
2018-07-04 09:29:00	3811.000000	3811.000000	3811.000000	3811.000000
2018-07-04 09:30:00	3810.000000	3810.000000	3810.000000	3810.000000
2018-07-04 09:38:00	3808.000000	3808.000000	3808.000000	3808.000000
2018-07-04 09:40:00	3807.000000	3807.000000	3806.000000	3806.000000
2018-07-04 09:41:00	3806.000000	3806.000000	3806.000000	3806.000000
2018-07-04 09:46:00	3806.000000	3806.000000	3806.000000	3806.000000
2018-07-04 09:47:00	3806.000000	3806.000000	3806.000000	3806.000000
2018-07-04 09:59:00	3812.000000	3812.000000	3812.000000	3812.000000
2018-07-04 10:10:00	3806.000000	3806.000000	3806.000000	3806.000000
2018-07-04 10:11:00	3805.000000	3805.000000	3804.000000	3804.000000
2018-07-04 10:12:00	3803.000000	3803.000000	3803.000000	3803.000000
2018-07-04 10:14:00	3800.000000	3800.000000	3800.000000	3800.000000
2018-07-04 10:35:00	3797.000000	3797.000000	3797.000000	3797.000000
2018-07-04 10:38:00	3797.000000	3797.000000	3797.000000	3797.000000
2018-07-04 10:39:00	3798.000000	3798.000000	3798.000000	3798.000000
2018-07-04 10:41:00	3798.000000	3798.000000	3798.000000	3798.000000
2018-07-04 10:42:00	3798.000000	3798.000000	3798.000000	3798.000000
2018-07-04 10:52:00	3798.000000	3798.000000	3798.000000	3798.000000
2018-07-04 10:54:00	3798.000000	3798.000000	3798.000000	3798.000000
2018-07-04 10:56:00	3799.000000	3800.000000	3799.000000	3800.000000
2018-07-04 10:57:00	3800.000000	3800.000000	3800.000000	3800.000000
2018-07-04 10:59:00	3798.000000	3800.000000	3798.000000	3800.000000
2018-07-04 11:00:00	3800.000000	3800.000000	3800.000000	3800.000000
2018-07-04 11:02:00	3798.000000	3798.000000	3796.000000	3796.000000
2018-07-04 11:05:00	3796.000000	3796.000000	3796.000000	3796.000000
2018-07-04 11:06:00	3797.000000	3797.000000	3797.000000	3797.000000
2018-07-04 11:08:00	3798.000000	3798.000000	3798.000000	3798.000000
2018-07-04 11:16:00	3796.000000	3796.000000	3796.000000	3796.000000
2018-07-04 11:18:00	3796.000000	3796.000000	3792.000000	3792.000000
2018-07-04 11:20:00	3792.000000	3792.000000	3792.000000	3792.000000
2018-07-04 11:21:00	3793.000000	3793.000000	3793.000000	3793.000000
2018-07-04 13:32:00	3790.000000	3790.000000	3787.000000	3787.000000
2018-07-04 13:34:00	3788.000000	3788.000000	3788.000000	3788.000000
2018-07-04 13:35:00	3789.000000	3789.000000	3789.000000	3789.000000
2018-07-04 13:36:00	3790.000000	3790.000000	3790.000000	3790.000000
2018-07-04 13:44:00	3787.000000	3787.000000	3787.000000	3787.000000
2018-07-04 13:46:00	3787.000000	3787.000000	3786.000000	3786.000000
2018-07-04 13:51:00	3786.000000	3786.000000	3785.000000	3785.000000
2018-07-04 13:53:00	3785.000000	3785.000000	3784.000000	3784.000000
2018-07-04 13:54:00	3785.000000	3785.000000	3783.000000	3783.000000
2018-07-04 14:03:00	3783.000000	3783.000000	3783.000000	3783.000000
2018-07-04 14:04:00	3782.000000	3782.000000	3782.000000	3782.000000
2018-07-04 14:05:00	3781.000000	3784.000000	3781.000000	3784.000000
2018-07-04 14:07:00	3784.000000	3784.000000	3784.000000	3784.000000
2018-07-04 14:09:00	3786.000000	3786.000000	3786.000000	3786.000000
2018-07-04 14:10:00	3785.000000	3785.000000	3785.000000	3785.000000
