datetime	open	high	low	close
2018-07-30 09:57:00	498.500000	498.500000	498.500000	498.500000
2018-07-30 10:00:00	499.400000	499.400000	499.400000	499.400000
2018-07-30 10:08:00	497.800000	497.800000	497.800000	497.800000
2018-07-30 10:11:00	498.200000	498.200000	498.200000	498.200000
2018-07-30 10:13:00	498.200000	498.200000	498.200000	498.200000
2018-07-30 10:14:00	498.300000	498.300000	498.300000	498.300000
2018-07-30 10:30:00	498.300000	498.300000	498.300000	498.300000
2018-07-30 10:44:00	498.500000	498.500000	498.500000	498.500000
2018-07-30 11:14:00	498.300000	498.300000	498.300000	498.300000
2018-07-30 13:43:00	498.500000	498.500000	498.500000	498.500000
2018-07-30 13:47:00	498.700000	498.700000	498.700000	498.700000
2018-07-30 14:37:00	499.600000	499.600000	499.600000	499.600000
2018-07-30 14:38:00	499.600000	499.600000	499.600000	499.600000
2018-07-30 14:45:00	499.200000	499.200000	499.200000	499.200000
2018-07-30 14:51:00	499.600000	499.600000	499.600000	499.600000
2018-07-30 14:58:00	500.600000	500.600000	500.600000	500.600000
2018-07-30 21:05:00	505.600000	505.600000	505.600000	505.600000
2018-07-30 21:18:00	504.600000	504.600000	504.600000	504.600000
2018-07-30 21:19:00	504.300000	504.300000	504.300000	504.300000
2018-07-30 21:21:00	504.300000	504.300000	504.300000	504.300000
2018-07-30 22:02:00	505.000000	505.000000	505.000000	505.000000
2018-07-30 22:11:00	505.000000	505.000000	505.000000	505.000000
2018-07-30 22:14:00	505.000000	505.000000	505.000000	505.000000
2018-07-30 22:23:00	504.800000	504.800000	504.800000	504.800000
2018-07-30 22:25:00	504.700000	504.700000	504.500000	504.500000
2018-07-30 22:34:00	504.100000	504.100000	504.100000	504.100000
2018-07-30 23:02:00	503.400000	503.400000	503.400000	503.400000
2018-07-30 23:04:00	503.100000	503.100000	503.100000	503.100000
