datetime	open	high	low	close
2017-05-02 09:00:00	14350.000000	14350.000000	14350.000000	14350.000000
2017-05-02 09:01:00	14350.000000	14350.000000	14350.000000	14350.000000
2017-05-02 09:02:00	14375.000000	14375.000000	14375.000000	14375.000000
2017-05-02 09:03:00	14355.000000	14355.000000	14355.000000	14355.000000
2017-05-02 09:07:00	14430.000000	14430.000000	14430.000000	14430.000000
2017-05-02 09:11:00	14410.000000	14410.000000	14410.000000	14410.000000
2017-05-02 09:16:00	14380.000000	14380.000000	14380.000000	14380.000000
2017-05-02 09:20:00	14380.000000	14380.000000	14380.000000	14380.000000
2017-05-02 09:21:00	14360.000000	14360.000000	14360.000000	14360.000000
2017-05-02 09:22:00	14360.000000	14360.000000	14360.000000	14360.000000
2017-05-02 09:26:00	14395.000000	14395.000000	14395.000000	14395.000000
2017-05-02 09:35:00	14365.000000	14365.000000	14365.000000	14365.000000
2017-05-02 09:40:00	14360.000000	14360.000000	14360.000000	14360.000000
2017-05-02 09:59:00	14440.000000	14440.000000	14435.000000	14435.000000
2017-05-02 10:38:00	14400.000000	14400.000000	14400.000000	14400.000000
2017-05-02 10:48:00	14385.000000	14385.000000	14385.000000	14385.000000
2017-05-02 11:17:00	14365.000000	14365.000000	14365.000000	14365.000000
2017-05-02 11:21:00	14375.000000	14375.000000	14375.000000	14375.000000
2017-05-02 11:29:00	14360.000000	14360.000000	14360.000000	14360.000000
2017-05-02 13:30:00	14360.000000	14360.000000	14360.000000	14360.000000
2017-05-02 13:35:00	14340.000000	14340.000000	14340.000000	14340.000000
2017-05-02 13:48:00	14340.000000	14340.000000	14340.000000	14340.000000
2017-05-02 13:51:00	14340.000000	14340.000000	14340.000000	14340.000000
2017-05-02 13:52:00	14340.000000	14340.000000	14340.000000	14340.000000
2017-05-02 13:54:00	14340.000000	14340.000000	14340.000000	14340.000000
2017-05-02 14:03:00	14320.000000	14320.000000	14305.000000	14305.000000
2017-05-02 14:04:00	14300.000000	14300.000000	14300.000000	14300.000000
2017-05-02 14:06:00	14280.000000	14290.000000	14280.000000	14290.000000
2017-05-02 14:14:00	14245.000000	14245.000000	14245.000000	14245.000000
2017-05-02 14:23:00	14230.000000	14230.000000	14230.000000	14230.000000
2017-05-02 14:26:00	14245.000000	14245.000000	14245.000000	14245.000000
2017-05-02 14:31:00	14255.000000	14260.000000	14255.000000	14260.000000
2017-05-02 14:39:00	14300.000000	14300.000000	14300.000000	14300.000000
2017-05-02 14:41:00	14300.000000	14300.000000	14300.000000	14300.000000
2017-05-02 14:55:00	14205.000000	14205.000000	14200.000000	14200.000000
2017-05-02 14:58:00	14165.000000	14185.000000	14165.000000	14185.000000
2017-05-02 14:59:00	14310.000000	14310.000000	14310.000000	14310.000000
2017-05-02 21:10:00	14255.000000	14255.000000	14255.000000	14255.000000
2017-05-02 21:12:00	14245.000000	14245.000000	14245.000000	14245.000000
2017-05-02 21:30:00	14235.000000	14235.000000	14235.000000	14235.000000
2017-05-02 21:37:00	14255.000000	14255.000000	14255.000000	14255.000000
2017-05-02 22:42:00	14290.000000	14290.000000	14290.000000	14290.000000
