datetime	trade	volume
2018-06-11 09:00:00	54420.000000	136.000000
2018-06-11 09:00:01	54420.000000	66.000000
2018-06-11 09:00:01	54420.000000	38.000000
2018-06-11 09:00:02	54400.000000	4.000000
2018-06-11 09:00:02	54410.000000	64.000000
2018-06-11 09:00:03	54410.000000	18.000000
2018-06-11 09:00:03	54390.000000	12.000000
2018-06-11 09:00:04	54390.000000	32.000000
2018-06-11 09:00:04	54390.000000	12.000000
2018-06-11 09:00:05	54400.000000	14.000000
2018-06-11 09:00:05	54390.000000	18.000000
2018-06-11 09:00:06	54390.000000	2.000000
2018-06-11 09:00:06	54400.000000	8.000000
2018-06-11 09:00:07	54410.000000	6.000000
2018-06-11 09:00:08	54400.000000	12.000000
2018-06-11 09:00:08	54390.000000	24.000000
2018-06-11 09:00:09	54400.000000	4.000000
2018-06-11 09:00:10	54400.000000	52.000000
2018-06-11 09:00:10	54400.000000	20.000000
2018-06-11 09:00:11	54400.000000	10.000000
2018-06-11 09:00:12	54400.000000	10.000000
2018-06-11 09:00:12	54390.000000	14.000000
2018-06-11 09:00:13	54390.000000	30.000000
2018-06-11 09:00:13	54380.000000	22.000000
2018-06-11 09:00:14	54390.000000	6.000000
2018-06-11 09:00:14	54380.000000	74.000000
2018-06-11 09:00:15	54370.000000	8.000000
2018-06-11 09:00:15	54360.000000	24.000000
2018-06-11 09:00:16	54360.000000	4.000000
2018-06-11 09:00:16	54370.000000	16.000000
2018-06-11 09:00:17	54370.000000	2.000000
2018-06-11 09:00:17	54370.000000	102.000000
2018-06-11 09:00:18	54370.000000	14.000000
2018-06-11 09:00:18	54370.000000	2.000000
2018-06-11 09:00:19	54380.000000	30.000000
2018-06-11 09:00:19	54390.000000	6.000000
2018-06-11 09:00:20	54380.000000	14.000000
2018-06-11 09:00:20	54380.000000	18.000000
2018-06-11 09:00:21	54390.000000	18.000000
2018-06-11 09:00:21	54380.000000	12.000000
2018-06-11 09:00:22	54380.000000	34.000000
2018-06-11 09:00:22	54380.000000	22.000000
2018-06-11 09:00:23	54380.000000	4.000000
2018-06-11 09:00:23	54380.000000	2.000000
2018-06-11 09:00:24	54380.000000	6.000000
2018-06-11 09:00:24	54390.000000	6.000000
2018-06-11 09:00:25	54390.000000	18.000000
2018-06-11 09:00:25	54380.000000	42.000000
2018-06-11 09:00:26	54380.000000	20.000000
2018-06-11 09:00:26	54390.000000	32.000000
2018-06-11 09:00:27	54380.000000	6.000000
2018-06-11 09:00:27	54380.000000	10.000000
2018-06-11 09:00:28	54390.000000	4.000000
